Artikel Nr.,Typ (Modell),d1 mm,d3 mm,l1 (min.) mm,l2 mm,l3 mm,G,L mm,Material
60180262,GS07 / A6,6,6.85,14,12,,,50.3,Stahl
60180290,GS07 / A5,7,6.85,14,12,,,50.3,Hartmetall
60180322,GS07 / A5,8,6.85,24,22,,,61.3,Hartmetall
60180326,GS07 / A5,8,6.85,34,32,,,71.3,Hartmetall
60180330,GS07 / A5,8,6.85,44,42,,,81.3,Hartmetall
60180432,GS10 / A5,10,9.85,20,17.3,,,59.7,Stahl
60180472,GS10 / A5,12,9.85,35,32.3,,,81.6,Hartmetall
60180476,GS10 / A5,12,9.85,50,47.3,,,96.6,Hartmetall
60180480,GS10 / A5,12,9.85,65,62.3,,,111.6,Hartmetall
60180582,GS16 / A5,16,15.85,32,27.6,,,78.2,Stahl
60180594,GS16 / A5,16,15.85,57,52.6,,,103.2,Hartmetall
60180670,GS16 / B4,18,15.85,24,19.6,22.1,M10,40.7,Stahl
