Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6044. _ _ _ _
60410132,unbeschichtet,15,0.25,2.0,,,5,".0400, .0410, .0420, .0500"
60410136,unbeschichtet,15,0.50,2.0,,,5,".0400, .0410, .0420, .0500"
60410140,unbeschichtet,15,"0.20 - 0.99",2.0,,,5,".0400, .0410, .0420, .0500"
60410141,unbeschichtet,15,1.00,2.0,,,5,".0400, .0410, .0420, .0500"
60410146,unbeschichtet,15,1.50,2.0,,,5,".0400, .0410, .0420, .0500"
60410148,unbeschichtet,15,"1.01 - 1.99",2.0,,,5,".0400, .0410, .0420, .0500"
60410149,unbeschichtet,15,2.00,2.0,,,5,".0400, .0410, .0420, .0500"
60410192,unbeschichtet,20,0.25,4.5,,,5,".0400, .0410, .0420, .0500"
60410196,unbeschichtet,20,0.50,4.5,,,5,".0400, .0410, .0420, .0500"
60410200,unbeschichtet,20,"0.20 - 0.99",4.5,,,5,".0400, .0410, .0420, .0500"
60410201,unbeschichtet,20,1.00,4.5,,,5,".0400, .0410, .0420, .0500"
60410206,unbeschichtet,20,1.50,4.5,,,5,".0400, .0410, .0420, .0500"
60410209,unbeschichtet,20,2.00,4.5,,,5,".0400, .0410, .0420, .0500"
60410210,unbeschichtet,20,"1.01 - 2.49",4.5,,,5,".0400, .0410, .0420, .0500"
60410211,unbeschichtet,20,2.50,4.5,,,5,".0400, .0410, .0420, .0500"
60410312,unbeschichtet,25,0.25,7.0,,,5,".0400, .0410, .0420, .0500"
60410316,unbeschichtet,25,0.50,7.0,,,5,".0400, .0410, .0420, .0500"
60410320,unbeschichtet,25,"0.25 - 0.99",7.0,,,5,".0400, .0410, .0420, .0500"
60410321,unbeschichtet,25,1.00,7.0,,,5,".0400, .0410, .0420, .0500"
60410326,unbeschichtet,25,1.50,7.0,,,5,".0400, .0410, .0420, .0500"
60410329,unbeschichtet,25,2.00,7.0,,,5,".0400, .0410, .0420, .0500"
60410330,unbeschichtet,25,"1.01 - 2.49",7.0,,,5,".0400, .0410, .0420, .0500"
60410331,unbeschichtet,25,2.50,7.0,,,5,".0400, .0410, .0420, .0500"
60410376,unbeschichtet,32,0.50,10.5,,,5,".0400, .0410, .0420, .0500"
60410380,unbeschichtet,32,"0.30 - 0.99",10.5,,,5,".0400, .0410, .0420, .0500"
60410381,unbeschichtet,32,1.00,10.5,,,5,".0400, .0410, .0420, .0500"
60410386,unbeschichtet,32,1.50,10.5,,,5,".0400, .0410, .0420, .0500"
60410388,unbeschichtet,32,"1.01 - 1.99",10.5,,,5,".0400, .0410, .0420, .0500"
60410389,unbeschichtet,32,2.00,10.5,,,5,".0400, .0410, .0420, .0500"
60410391,unbeschichtet,32,2.50,10.5,,,5,".0400, .0410, .0420, .0500"
60410392,unbeschichtet,32,"2.01 - 2.99",10.5,,,5,".0400, .0410, .0420, .0500"
60410393,unbeschichtet,32,3.00,10.5,,,5,".0400, .0410, .0420, .0500"
