Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6044. _ _ _ _
60420136,TiAlN-beschichtet,15,0.50,2.0,,,5,".0400, .0410, .0420, .0500"
60420141,TiAlN-beschichtet,15,1.00,2.0,,,5,".0400, .0410, .0420, .0500"
60420146,TiAlN-beschichtet,15,1.50,2.0,,,5,".0400, .0410, .0420, .0500"
60420149,TiAlN-beschichtet,15,2.00,2.0,,,5,".0400, .0410, .0420, .0500"
60420196,TiAlN-beschichtet,20,0.50,4.5,,,5,".0400, .0410, .0420, .0500"
60420201,TiAlN-beschichtet,20,1.00,4.5,,,5,".0400, .0410, .0420, .0500"
60420206,TiAlN-beschichtet,20,1.50,4.5,,,5,".0400, .0410, .0420, .0500"
60420209,TiAlN-beschichtet,20,2.00,4.5,,,5,".0400, .0410, .0420, .0500"
60420211,TiAlN-beschichtet,20,2.50,4.5,,,5,".0400, .0410, .0420, .0500"
60420312,TiAlN-beschichtet,25,0.25,7.0,,,5,".0400, .0410, .0420, .0500"
60420316,TiAlN-beschichtet,25,0.50,7.0,,,5,".0400, .0410, .0420, .0500"
60420320,TiAlN-beschichtet,25,"0.25 - 0.99",7.0,,,5,".0400, .0410, .0420, .0500"
60420321,TiAlN-beschichtet,25,1.00,7.0,,,5,".0400, .0410, .0420, .0500"
60420326,TiAlN-beschichtet,25,1.50,7.0,,,5,".0400, .0410, .0420, .0500"
60420329,TiAlN-beschichtet,25,2.00,7.0,,,5,".0400, .0410, .0420, .0500"
60420331,TiAlN-beschichtet,25,2.50,7.0,,,5,".0400, .0410, .0420, .0500"
60420376,TiAlN-beschichtet,32,0.50,10.5,,,5,".0400, .0410, .0420, .0500"
60420381,TiAlN-beschichtet,32,1.00,10.5,,,5,".0400, .0410, .0420, .0500"
60420386,TiAlN-beschichtet,32,1.50,10.5,,,5,".0400, .0410, .0420, .0500"
60420389,TiAlN-beschichtet,32,2.00,10.5,,,5,".0400, .0410, .0420, .0500"
60420391,TiAlN-beschichtet,32,2.50,10.5,,,5,".0400, .0410, .0420, .0500"
60420393,TiAlN-beschichtet,32,3.00,10.5,,,5,".0400, .0410, .0420, .0500"
