Artikel Nr.,Beschichtung,d1 mm,Typ (Modell),b mm,b1 mm,Nuttiefe mm,d2 mm,d3 mm,Aufnahme 6048. _ _ _ _
60450312*,unbeschichtet,25,S,0.25,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450316*,unbeschichtet,25,S,0.50,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450321*,unbeschichtet,25,S,1.00,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450326*,unbeschichtet,25,S,0.20 - 1.49,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450328*,unbeschichtet,25,S,1.50,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450329*,unbeschichtet,25,S,1.51 - 1.99,2.05,3.5,5,16,".0400, .0410, .0420, .0520"
60450330*,unbeschichtet,25,S,2.00,2.05,3.5,5,16,".0400, .0410, .0420, .0520"
60450331*,unbeschichtet,25,S,2.01 - 2.49,2.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450332*,unbeschichtet,25,S,2.50,2.55,3.5,5,16,".0400, .0410, .0420, .0520"
60450376*,unbeschichtet,32,S,0.50,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450381*,unbeschichtet,32,S,1.00,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450386*,unbeschichtet,32,S,0.25 - 1.49,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450388*,unbeschichtet,32,S,1.50,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450389*,unbeschichtet,32,S,1.51 - 1.99,2.05,7.0,5,16,".0400, .0410, .0420, .0520"
60450390*,unbeschichtet,32,S,2.00,2.05,7.0,5,16,".0400, .0410, .0420, .0520"
60450391*,unbeschichtet,32,S,2.01 - 2.49,2.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450392*,unbeschichtet,32,S,2.50,2.55,7.0,5,16,".0400, .0410, .0420, .0520"
60450393*,unbeschichtet,32,S,2.51 - 2.99,3.05,7.0,5,16,".0400, .0410, .0420, .0520"
60450394*,unbeschichtet,32,S,3.00,3.05,7.0,5,16,".0400, .0410, .0420, .0520"
60450466*,unbeschichtet,40,S,0.50,2.55,7.0,8,24,".0430, .0530"
60450471*,unbeschichtet,40,S,1.00,2.55,7.0,8,24,".0430, .0530"
60450478*,unbeschichtet,40,S,1.50,2.55,7.0,8,24,".0430, .0530"
60450480*,unbeschichtet,40,S,2.00,2.55,7.0,8,24,".0430, .0530"
60450481*,unbeschichtet,40,S,0.30 - 2.49,2.55,7.0,8,24,".0430, .0530"
60450482*,unbeschichtet,40,S,2.50,2.55,7.0,8,24,".0430, .0530"
60450483*,unbeschichtet,40,S,2.51 - 2.99,3.05,7.0,8,24,".0430, .0530"
60450484*,unbeschichtet,40,S,3.00,3.05,7.0,8,24,".0430, .0530"
60450485*,unbeschichtet,40,S,3.01 - 3.99,4.05,7.0,8,24,".0430, .0530"
60450486*,unbeschichtet,40,S,4.00,4.05,7.0,8,24,".0430, .0530"
