Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Nuttiefe mm,Typ (Modell),d2 mm,d3 mm,Aufnahme 6048. _ _ _ _
60460355*,TiAlN-beschichtet,40,1,2.55,7.0 (3.5**),36 Bw,8,24,".0430, .0530"
60460356*,TiAlN-beschichtet,40,1,2.55,7.0,24 Bw,8,24,".0430, .0530"
60460361*,TiAlN-beschichtet,40,1.5,2.55,7.0 (3.5**),36 Bw,8,24,".0430, .0530"
60460362*,TiAlN-beschichtet,40,1.5,2.55,7.0,24 Bw,8,24,".0430, .0530"
60460367*,TiAlN-beschichtet,40,2,2.55,7.0 (3.5**),36 Bw,8,24,".0430, .0530"
60460368*,TiAlN-beschichtet,40,2,2.55,7.0,24 Bw,8,24,".0430, .0530"
60460415,TiAlN-beschichtet,50,1,2.55,12.0 (5.5**),32 Bw,8,24,".0430, .0530"
60460416,TiAlN-beschichtet,50,1.5,2.55,12.0,22 Bw,8,24,".0430, .0530"
60460421,TiAlN-beschichtet,50,1.5,2.55,12.0 (5.5**),32 Bw,8,24,".0430, .0530"
60460427,TiAlN-beschichtet,50,2,2.55,12.0 (5.5**),32 Bw,8,24,".0430, .0530"
60460428,TiAlN-beschichtet,50,2,2.55,12.0,22 Bw,8,24,".0430, .0530"
60460533,TiAlN-beschichtet,63,1,2.55,14.5 (7.0**),30 Bw,16,32,".0440, .0540, .0640"
60460536,TiAlN-beschichtet,63,1,2.55,14.5,20 Bw,16,32,".0440, .0540, .0640"
60460541,TiAlN-beschichtet,63,1.5,2.55,14.5 (7.0**),30 Bw,16,32,".0440, .0540, .0640"
60460542,TiAlN-beschichtet,63,1.5,2.55,14.5,20 Bw,16,32,".0440, .0540, .0640"
60460547,TiAlN-beschichtet,63,2,2.55,14.5 (7.0**),30 Bw,16,32,".0440, .0540, .0640"
60460548,TiAlN-beschichtet,63,2,2.55,14.5,20 Bw,16,32,".0440, .0540, .0640"
60460595,TiAlN-beschichtet,80,1,2.55,23.0 (10.0**),30 Bw,16,32,".0440, .0540, .0640"
60460596,TiAlN-beschichtet,80,1,2.55,23.0,20 Bw,16,32,".0440, .0540, .0640"
60460600,TiAlN-beschichtet,80,1.5,2.55,23.0 (10.0**),30 Bw,16,32,".0440, .0540, .0640"
60460602,TiAlN-beschichtet,80,1.5,2.55,23.0,20 Bw,16,32,".0440, .0540, .0640"
60460607,TiAlN-beschichtet,80,2,2.55,23.0 (10.0**),30 Bw,16,32,".0440, .0540, .0640"
60460609,TiAlN-beschichtet,80,2,2.55,23.0,20 Bw,16,32,".0440, .0540, .0640"
60460613,TiAlN-beschichtet,80,2.5,2.55,23.0 (10.0**),30 Bw,16,32,".0440, .0540, .0640"
60460614,TiAlN-beschichtet,80,2.5,2.55,23.0,20 Bw,16,32,".0440, .0540, .0640"
60460619,TiAlN-beschichtet,80,3,3.05,23.0 (10.0**),30 Bw,16,32,".0440, .0540, .0640"
60460620,TiAlN-beschichtet,80,3,3.05,23.0,20 Bw,16,32,".0440, .0540, .0640"
60460715,TiAlN-beschichtet,100,1,2.55,29.0 (13.0**),28 Bw,22,40,.0650
60460716,TiAlN-beschichtet,100,1,2.55,29.0,18 Bw,22,40,.0650
60460721,TiAlN-beschichtet,100,1.5,2.55,29.0 (13.0**),28 Bw,22,40,.0650
60460722,TiAlN-beschichtet,100,1.5,2.55,29.0,18 Bw,22,40,.0650
60460727,TiAlN-beschichtet,100,2,2.55,29.0 (13.0**),28 Bw,22,40,.0650
60460728,TiAlN-beschichtet,100,2,2.55,29.0,18 Bw,22,40,.0650
60460733,TiAlN-beschichtet,100,2.5,2.55,29.0 (13.0**),28 Bw,22,40,.0650
60460734,TiAlN-beschichtet,100,2.5,2.55,29.0,18 Bw,22,40,.0650
60460739,TiAlN-beschichtet,100,3,3.05,29.0 (13.0**),28 Bw,22,40,.0650
60460740,TiAlN-beschichtet,100,3,3.05,29.0,18 Bw,22,40,.0650
60460775,TiAlN-beschichtet,125,1,2.55,41.5 (17.0**),28 Bw,22,40,.0650
60460776,TiAlN-beschichtet,125,1,2.55,41.5,18 Bw,22,40,.0650
60460781,TiAlN-beschichtet,125,1.5,2.55,41.5 (17.0**),28 Bw,22,40,.0650
60460782,TiAlN-beschichtet,125,1.5,2.55,41.5,18 Bw,22,40,.0650
60460787,TiAlN-beschichtet,125,2,2.55,41.5 (17.0**),28 Bw,22,40,.0650
60460788,TiAlN-beschichtet,125,2,2.55,41.5,18 Bw,22,40,.0650
60460793,TiAlN-beschichtet,125,2.5,2.55,41.5 (17.0**),28 Bw,22,40,.0650
60460794,TiAlN-beschichtet,125,2.5,2.55,41.5,18 Bw,22,40,.0650
60460799,TiAlN-beschichtet,125,3,3.05,41.5 (17.0**),28 Bw,22,40,.0650
60460800,TiAlN-beschichtet,125,3,3.05,41.5,18 Bw,22,40,.0650
