Artikel Nr.,Typ (Modell),fuer Saegen-O,d1 mm,d2 mm,d3 mm,d4 mm,G,l1 mm,l2 mm,L mm
60480400*,A2,25 / 32 mm,7,5,16,,,12.6,,51.9
60480410*,A2,25 / 32 mm,8,5,16,,,12.6,,51.9
60480420*,A2,25 / 32 mm,10,5,16,,,12.6,,55.9
60480430,A3,40 / 50 mm,16,8,24,,,19.6,,71.8
60480440,A3,63 / 80 mm,16,16,32,,,23.6,,75.8
60480520*,B2,25 / 32 mm,13,5,16,,M8,20.7,,38
60480530,B2,40 / 50 mm,21,8,24,,M12,25.8,,48
60480540,B2,63 / 80 mm,29,16,32,,M16,30.8,,55
60480640,C1,63 / 80 mm,16,16,32,9,,29.7,18,31.9
60480650,C1,100 / 125 mm,22,22,40,11,,37.7,20,39.9
60580660,C2,160 / 200 mm,27,32,48,14,,47.7,22,49.9
