Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Nuttiefe mm,Typ (Modell),d2 mm,d3 mm,Aufnahme 6058. _ _ _ _
61550568,TiAlN-beschichtet,50,2,2.73,10.0 (5.0*),30 BS,16,28,".0430, .0530, .0630"
61550569,TiAlN-beschichtet,50,2,2.73,10.0,20 BS,16,28,".0430, .0530, .0630"
61550570,TiAlN-beschichtet,50,2.5,2.73,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
61550571,TiAlN-beschichtet,50,2.5,2.73,10.5,20 BS,16,28,".0430, .0530, .0630"
61550572,TiAlN-beschichtet,50,3,3.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
61550573,TiAlN-beschichtet,50,3,3.08,10.5,20 BS,16,28,".0430, .0530, .0630"
61550574,TiAlN-beschichtet,50,4,4.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
61550575,TiAlN-beschichtet,50,4,4.08,10.5,20 BS,16,28,".0430, .0530, .0630"
61550576,TiAlN-beschichtet,50,5,5.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
61550577,TiAlN-beschichtet,50,5,5.08,10.5,20 BS,16,28,".0430, .0530, .0630"
61550579,TiAlN-beschichtet,50,6,6.08,10.5,20 BS,16,28,".0430, .0530, .0630"
61550628,TiAlN-beschichtet,63,2,2.73,14.5 (7.5*),26 BS,16,32,".0440, .0540, .0640"
61550629,TiAlN-beschichtet,63,2,2.73,14.5,18 BS,16,32,".0440, .0540, .0640"
61550630,TiAlN-beschichtet,63,2.5,2.73,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
61550631,TiAlN-beschichtet,63,2.5,2.73,15.0,18 BS,16,32,".0440, .0540, .0640"
61550632,TiAlN-beschichtet,63,3,3.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
61550633,TiAlN-beschichtet,63,3,3.08,15.0,18 BS,16,32,".0440, .0540, .0640"
61550634,TiAlN-beschichtet,63,4,4.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
61550635,TiAlN-beschichtet,63,4,4.08,15.0,18 BS,16,32,".0440, .0540, .0640"
61550636,TiAlN-beschichtet,63,5,5.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
61550637,TiAlN-beschichtet,63,5,5.08,15.0,18 BS,16,32,".0440, .0540, .0640"
61550639,TiAlN-beschichtet,63,6,6.08,15.0,18 BS,16,32,".0440, .0540, .0640"
61550658,TiAlN-beschichtet,80,2,2.73,23.0 (11.5*),24 BS,16,32,".0440, .0540, .0640"
61550659,TiAlN-beschichtet,80,2,2.73,23.0,16 BS,16,32,".0440, .0540, .0640"
61550660,TiAlN-beschichtet,80,2.5,2.73,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
61550661,TiAlN-beschichtet,80,2.5,2.73,23.5,16 BS,16,32,".0440, .0540, .0640"
61550662,TiAlN-beschichtet,80,3,3.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
61550663,TiAlN-beschichtet,80,3,3.08,23.5,16 BS,16,32,".0440, .0540, .0640"
61550664,TiAlN-beschichtet,80,4,4.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
61550665,TiAlN-beschichtet,80,4,4.08,23.5,16 BS,16,32,".0440, .0540, .0640"
61550666,TiAlN-beschichtet,80,5,5.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
61550667,TiAlN-beschichtet,80,5,5.08,23.5,16 BS,16,32,".0440, .0540, .0640"
61550669,TiAlN-beschichtet,80,6,6.08,23.5,16 BS,16,32,".0440, .0540, .0640"
61550718,TiAlN-beschichtet,100,2,2.73,29.0 (14.5*),24 BS,22,40,.0650
61550719,TiAlN-beschichtet,100,2,2.73,29.0,16 BS,22,40,.0650
61550720,TiAlN-beschichtet,100,2.5,2.73,29.5 (14.5*),24 BS,22,40,.0650
61550721,TiAlN-beschichtet,100,2.5,2.73,29.5,16 BS,22,40,.0650
61550722,TiAlN-beschichtet,100,3,3.08,29.5 (14.5*),24 BS,22,40,.0650
61550723,TiAlN-beschichtet,100,3,3.08,29.5,16 BS,22,40,.0650
61550724,TiAlN-beschichtet,100,4,4.08,29.5 (14.5*),24 BS,22,40,.0650
61550725,TiAlN-beschichtet,100,4,4.08,29.5,16 BS,22,40,.0650
61550726,TiAlN-beschichtet,100,5,5.08,29.5 (14.5*),24 BS,22,40,.0650
61550727,TiAlN-beschichtet,100,5,5.08,29.5,16 BS,22,40,.0650
61550729,TiAlN-beschichtet,100,6,6.08,29.5,16 BS,22,40,.0650
61550748,TiAlN-beschichtet,125,2,2.73,41.5 (21.0*),24 BS,22,40,.0650
61550749,TiAlN-beschichtet,125,2,2.73,41.5,16 BS,22,40,.0650
61550750,TiAlN-beschichtet,125,2.5,2.73,42.0 (21.0*),24 BS,22,40,.0650
61550751,TiAlN-beschichtet,125,2.5,2.73,42.0,16 BS,22,40,.0650
61550752,TiAlN-beschichtet,125,3,3.08,42.0 (21.0*),24 BS,22,40,.0650
61550753,TiAlN-beschichtet,125,3,3.08,42.0,16 BS,22,40,.0650
61550754,TiAlN-beschichtet,125,4,4.08,42.0 (21.0*),24 BS,22,40,.0650
61550755,TiAlN-beschichtet,125,4,4.08,42.0,16 BS,22,40,.0650
61550756,TiAlN-beschichtet,125,5,5.08,42.0 (21.0*),24 BS,22,40,.0650
61550757,TiAlN-beschichtet,125,5,5.08,42.0,16 BS,22,40,.0650
61550759,TiAlN-beschichtet,125,6,6.08,42.0,16 BS,22,40,.0650
