Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63130275,unbeschichtet,20,"<= 0.50",4.5,GS10,18 B,2.7,".0432, .0472, .0476, .0480"
63130280,unbeschichtet,20,"0.51 - 1.00",4.5,GS10,18 Bw,2.7,".0432, .0472, .0476, .0480"
63130285,unbeschichtet,20,"1.01 - 1.50",4.5,GS10,18 Bw,2.7,".0432, .0472, .0476, .0480"
63130335,unbeschichtet,25,"<= 0.50",7.0,GS10,16 B,2.7,".0432, .0472, .0476, .0480"
63130340,unbeschichtet,25,"0.51 - 1.00",7.0,GS10,16 Bw,2.7,".0432, .0472, .0476, .0480"
63130345,unbeschichtet,25,"1.01 - 1.50",7.0,GS10,16 Bw,2.7,".0432, .0472, .0476, .0480"
63130395,unbeschichtet,32,"<= 0.50",10.5,GS10,14 B,2.7,".0432, .0472, .0476, .0480"
63130400,unbeschichtet,32,"0.51 - 1.00",10.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63130405,unbeschichtet,32,"1.01 - 1.50",10.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63130430,unbeschichtet,40,"<= 1.00",14.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63130435,unbeschichtet,40,"1.01 - 1.50",14.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
