Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63140275,AlCrN-beschichtet,20,"<= 0.50",4.5,GS10,18 B,2.7,".0432, .0472, .0476, .0480"
63140280,AlCrN-beschichtet,20,"0.51 - 1.00",4.5,GS10,18 Bw,2.7,".0432, .0472, .0476, .0480"
63140285,AlCrN-beschichtet,20,"1.01 - 1.50",4.5,GS10,18 Bw,2.7,".0432, .0472, .0476, .0480"
63140335,AlCrN-beschichtet,25,"<= 0.50",7.0,GS10,16 B,2.7,".0432, .0472, .0476, .0480"
63140340,AlCrN-beschichtet,25,"0.51 - 1.00",7.0,GS10,16 Bw,2.7,".0432, .0472, .0476, .0480"
63140345,AlCrN-beschichtet,25,"1.01 - 1.50",7.0,GS10,16 Bw,2.7,".0432, .0472, .0476, .0480"
63140395,AlCrN-beschichtet,32,"<= 0.50",10.5,GS10,14 B,2.7,".0432, .0472, .0476, .0480"
63140400,AlCrN-beschichtet,32,"0.51 - 1.00",10.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63140405,AlCrN-beschichtet,32,"1.01 - 1.50",10.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63140430,AlCrN-beschichtet,40,"<= 1.00",14.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
63140435,AlCrN-beschichtet,40,"1.01 - 1.50",14.5,GS10,14 Bw,2.7,".0432, .0472, .0476, .0480"
