Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63150190,unbeschichtet,15,"<= 1.00",3.5,GS07,,2,".0262, .0290, .0322, .0326, .0330"
63150195,unbeschichtet,15,"1.01 - 1.50",3.5,GS07,,2.1,".0262, .0290, .0322, .0326, .0330"
63150200,unbeschichtet,15,"1.51 - 2.00",3.5,GS07,,2.6,".0262, .0290, .0322, .0326, .0330"
63150250,unbeschichtet,20,"<= 1.00",6.0,GS07,,2,".0262, .0290, .0322, .0326, .0330"
63150255,unbeschichtet,20,"1.01 - 1.50",6.0,GS07,,2.1,".0262, .0290, .0322, .0326, .0330"
63150260,unbeschichtet,20,"1.51 - 2.00",6.0,GS07,,2.6,".0262, .0290, .0322, .0326, .0330"
63150262,unbeschichtet,20,"2.01 - 2.50",6.0,GS07,,2.7 - 3.1,".0262, .0290, .0322, .0326, .0330"
63150265,unbeschichtet,20,"2.51 - 4.20",6.0,GS07,,3.11 - 4.8,".0262, .0290, .0322, .0326, .0330"
63150310,unbeschichtet,25,"1.01 - 1.50",8.5,GS07,,2.1,".0262, .0290, .0322, .0326, .0330"
63150320,unbeschichtet,25,"1.51 - 2.00",8.5,GS07,,2.6,".0262, .0290, .0322, .0326, .0330"
63150370,unbeschichtet,32,"<= 1.00",12.0,GS07,,2,".0262, .0290, .0322, .0326, .0330"
63150375,unbeschichtet,32,"1.01 - 1.50",12.0,GS07,,2.1,".0262, .0290, .0322, .0326, .0330"
