Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63160483,TiNox-beschichtet,32,"<= 1.00",7.5,GS16,18 A+,4.4,".0582, .0594, .0670"
63160486,TiNox-beschichtet,32,"1.01 - 2.00",7.5,GS16,18 A+,4.6,".0582, .0594, .0670"
63160489,TiNox-beschichtet,32,"2.01 - 3.00",7.5,GS16,18 A+,4.6,".0582, .0594, .0670"
63160491,TiNox-beschichtet,32,"3.01 - 4.00",7.5,GS16,18 Ak+,5.9,".0582, .0594, .0670"
63160493,TiNox-beschichtet,32,"4.01 - 5.00",7.5,GS16,18 Ak+,5.9,".0582, .0594, .0670"
63160503,TiNox-beschichtet,40,"<= 1.00",11.5,GS16,16 A+,4.4,".0582, .0594, .0670"
63160506,TiNox-beschichtet,40,"1.01 - 2.00",11.5,GS16,16 A+,4.6,".0582, .0594, .0670"
63160509,TiNox-beschichtet,40,"2.01 - 3.00",11.5,GS16,16 A+,4.6,".0582, .0594, .0670"
63160511,TiNox-beschichtet,40,"3.01 - 4.00",11.5,GS16,16 Ak+,4.9,".0582, .0594, .0670"
63160513,TiNox-beschichtet,40,"4.01 - 5.00",11.5,GS16,12 Ak+,5.9,".0582, .0594, .0670"
63160573,TiNox-beschichtet,50,"<= 1.00",16.5,GS16,14 A+,4.4,".0582, .0594, .0670"
63160576,TiNox-beschichtet,50,"1.01 - 2.00",16.5,GS16,14 A+,4.4,".0582, .0594, .0670"
63160579,TiNox-beschichtet,50,"2.01 - 3.00",16.5,GS16,14 A+,4.6,".0582, .0594, .0670"
63160581,TiNox-beschichtet,50,"3.01 - 4.00",16.5,GS16,12 Ak+,4.9,".0582, .0594, .0670"
63160583,TiNox-beschichtet,50,"4.01 - 5.00",16.5,GS16,14 Aw+,5.9,".0582, .0594, .0670"
63160663,TiNox-beschichtet,63,"<= 1.00",23.0,GS16,14 A+,4.4,".0582, .0594, .0670"
63160666,TiNox-beschichtet,63,"1.01 - 2.00",23.0,GS16,14 A+,4.4,".0582, .0594, .0670"
63160669,TiNox-beschichtet,63,"2.01 - 3.00",23.0,GS16,12 A+,4.4,".0582, .0594, .0670"
63160671,TiNox-beschichtet,63,"3.01 - 4.00",23.0,GS16,14 Aw+,4.9,".0582, .0594, .0670"
