Artikel Nr.,Beschichtung,d1 mm,b mm,d2 mm,d3 mm,L mm,l2 mm,Nuttiefe (d2) mm,Nuttiefe (d3) mm
63250358*,unbeschichtet,20,0.25 - 0.49,8,7.8,50,12,5.5,5.5
63250359*,unbeschichtet,20,0.50,8,7.8,50,12,5.5,5.5
63250368*,unbeschichtet,20,0.51 - 0.99,8,7.8,50,12,5.5,5.5
63250369*,unbeschichtet,20,1.00,8,7.8,50,12,5.5,5.5
63250372*,unbeschichtet,20,1.01 - 1.49,8,7.8,50,12,5.5,5.5
63250373*,unbeschichtet,20,1.50,8,7.8,50,12,5.5,5.5
63250376*,unbeschichtet,20,1.51 - 1.99,8,7.8,50,12,5.5,5.5
63250377*,unbeschichtet,20,2.00,8,7.8,50,12,5.5,5.5
63250458*,unbeschichtet,25,0.30 - 0.49,10,8.8,60,17,7.0,7.5
63250459*,unbeschichtet,25,0.50,10,8.8,60,17,7.0,7.5
63250468*,unbeschichtet,25,0.51 - 0.99,10,8.8,60,17,7.0,7.5
63250469*,unbeschichtet,25,1.00,10,8.8,60,17,7.0,7.5
63250472*,unbeschichtet,25,1.01 - 1.49,10,8.8,60,17,7.0,7.5
63250473*,unbeschichtet,25,1.50,10,8.8,60,17,7.0,7.5
63250477*,unbeschichtet,25,2.00,10,8.8,60,17,7.0,7.5
63250558*,unbeschichtet,32,0.30 - 0.49,10,9.8,60,18,10.5,10.5
63250559*,unbeschichtet,32,0.50,10,9.8,60,18,10.5,10.5
63250568*,unbeschichtet,32,0.51 - 0.99,10,9.8,60,18,10.5,10.5
63250569*,unbeschichtet,32,1.00,10,9.8,60,18,10.5,10.5
63250572*,unbeschichtet,32,1.01 - 1.49,10,9.8,60,18,10.5,10.5
63250573*,unbeschichtet,32,1.50,10,9.8,60,18,10.5,10.5
63250577*,unbeschichtet,32,2.00,10,9.8,60,18,10.5,10.5
63250578*,unbeschichtet,40,0.35 - 0.49,12,10.3,72,23.5,13.5,14.0
63250579*,unbeschichtet,40,0.50,12,10.3,72,23.5,13.5,14.0
63250582*,unbeschichtet,40,0.51 - 0.99,12,10.3,72,23.5,13.5,14.0
63250583*,unbeschichtet,40,1.00,12,10.3,72,23.5,13.5,14.0
63250586*,unbeschichtet,40,1.01 - 1.49,12,10.3,72,23.5,13.5,14.0
63250588*,unbeschichtet,40,1.50,12,10.3,72,23.5,13.5,14.0
63250592*,unbeschichtet,40,1.51 - 1.99,12,10.3,72,23.5,13.5,14.0
63250593*,unbeschichtet,40,2.00,12,10.3,72,23.5,13.5,14.0
63250758*,unbeschichtet,50,0.40 - 0.49,12,11.8,80,33,18.5,18.5
63250759*,unbeschichtet,50,0.50,12,11.8,80,33,18.5,18.5
63250768*,unbeschichtet,50,0.51 - 0.99,12,11.8,80,33,18.5,18.5
63250769*,unbeschichtet,50,1.00,12,11.8,80,33,18.5,18.5
63250772*,unbeschichtet,50,1.01 - 1.49,12,11.8,80,33,18.5,18.5
63250773*,unbeschichtet,50,1.50,12,11.8,80,33,18.5,18.5
63250776*,unbeschichtet,50,1.51 - 1.99,12,11.8,80,33,18.5,18.5
63250777*,unbeschichtet,50,2.00,12,11.8,80,33,18.5,18.5
