Artikel Nr.,Beschichtung,d1 mm,b mm,d2 mm,d3 mm,L mm,l2 mm,Nuttiefe (d2) mm,Nuttiefe (d3) mm
63260359*,AlCrN-beschichtet,20,0.5,8,7.8,50,12,5.5,5.5
63260369*,AlCrN-beschichtet,20,1.0,8,7.8,50,12,5.5,5.5
63260373*,AlCrN-beschichtet,20,1.5,8,7.8,50,12,5.5,5.5
63260377*,AlCrN-beschichtet,20,2.0,8,7.8,50,12,5.5,5.5
63260459*,AlCrN-beschichtet,25,0.5,10,8.8,60,17,7.0,7.5
63260469*,AlCrN-beschichtet,25,1.0,10,8.8,60,17,7.0,7.5
63260473*,AlCrN-beschichtet,25,1.5,10,8.8,60,17,7.0,7.5
63260477*,AlCrN-beschichtet,25,2.0,10,8.8,60,17,7.0,7.5
63260569*,AlCrN-beschichtet,32,1.0,10,9.8,60,18,10.5,10.5
63260573*,AlCrN-beschichtet,32,1.5,10,9.8,60,18,10.5,10.5
63260577*,AlCrN-beschichtet,32,2.0,10,9.8,60,18,10.5,10.5
63260659*,AlCrN-beschichtet,40,0.5,12,10.3,72,23.5,13.5,14.0
63260669*,AlCrN-beschichtet,40,1.0,12,10.3,72,23.5,13.5,14.0
63260673*,AlCrN-beschichtet,40,1.5,12,10.3,72,23.5,13.5,14.0
63260677*,AlCrN-beschichtet,40,2.0,12,10.3,72,23.5,13.5,14.0
