Artikel Nr.,Beschichtung,d1 mm,b mm,d2 mm,d3 mm,L mm,l2 mm,Nuttiefe (d2) mm,Nuttiefe (d3) mm
63360329*,AlCrN-beschichtet,25,2,10,8.8,62,17,7.0,7.5
63360331*,AlCrN-beschichtet,25,2.5,10,8.8,62,16.5,7.0,7.5
63360389*,AlCrN-beschichtet,32,2,10,9.8,62,18,10.5,10.5
63360391*,AlCrN-beschichtet,32,2.5,10,9.8,62,17.5,10.5,10.5
63360393*,AlCrN-beschichtet,32,3,10,9.8,62,17,10.5,10.5
63360479*,AlCrN-beschichtet,40,2,12,10.8,74,24,13.5,14.0
63360481*,AlCrN-beschichtet,40,2.5,12,10.8,74,23.5,13.5,14.0
63360483*,AlCrN-beschichtet,40,3,12,10.8,74,23,13.5,14.0
63360485*,AlCrN-beschichtet,40,4,12,10.8,74,22,13.5,14.0
63360569*,AlCrN-beschichtet,50,2,16,13.8,90,36.5,16.5,17.5
63360571*,AlCrN-beschichtet,50,2.5,16,13.8,90,36,16.5,17.5
63360573*,AlCrN-beschichtet,50,3,16,13.8,90,35.5,16.5,17.5
63360575*,AlCrN-beschichtet,50,4,16,13.8,90,34.5,16.5,17.5
