Artikel Nr.,Beschichtung,d1 mm,Typ (Modell),b mm,b1 mm,Nuttiefe mm,d2 mm,d3 mm,Aufnahme 6048. _ _ _ _
63450320*,unbeschichtet,25,S,0.20 - 0.99,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450321*,unbeschichtet,25,S,1.00,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450325*,unbeschichtet,25,S,1.01 - 1.49,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450326*,unbeschichtet,25,S,0.20 - 1.49,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450328*,unbeschichtet,25,S,1.50,1.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450329*,unbeschichtet,25,S,1.51 - 1.99,2.05,3.5,5,16,".0400, .0410, .0420, .0520"
63450330*,unbeschichtet,25,S,2.00,2.05,3.5,5,16,".0400, .0410, .0420, .0520"
63450331*,unbeschichtet,25,S,2.01 - 2.49,2.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450332*,unbeschichtet,25,S,2.50,2.55,3.5,5,16,".0400, .0410, .0420, .0520"
63450376*,unbeschichtet,32,S,1.50,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450381*,unbeschichtet,32,S,1.00,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450386*,unbeschichtet,32,S,0.25 - 1.49,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450388*,unbeschichtet,32,S,1.50,1.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450389*,unbeschichtet,32,S,1.51 - 1.99,2.05,7.0,5,16,".0400, .0410, .0420, .0520"
63450390*,unbeschichtet,32,S,2.00,2.05,7.0,5,16,".0400, .0410, .0420, .0520"
63450391*,unbeschichtet,32,S,2.01 - 2.49,2.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450392*,unbeschichtet,32,S,2.50,2.55,7.0,5,16,".0400, .0410, .0420, .0520"
63450393*,unbeschichtet,32,S,2.51 - 2.99,3.05,7.0,5,16,".0400, .0410, .0420, .0520"
63450394*,unbeschichtet,32,S,3.00,3.05,7.0,5,16,".0400, .0410, .0420, .0520"
63450466*,unbeschichtet,40,S,0.50,2.55,7.0,8,24,".0430, .0530"
63450471*,unbeschichtet,40,S,1.00,2.55,7.0,8,24,".0430, .0530"
63450478*,unbeschichtet,40,S,1.50,2.55,7.0,8,24,".0430, .0530"
63450480*,unbeschichtet,40,S,2.00,2.55,7.0,8,24,".0430, .0530"
63450481*,unbeschichtet,40,S,0.30 - 2.49,2.55,7.0,8,24,".0430, .0530"
63450482*,unbeschichtet,40,S,2.50,2.55,7.0,8,24,".0430, .0530"
63450483*,unbeschichtet,40,S,2.51 - 2.99,3.05,7.0,8,24,".0430, .0530"
63450484*,unbeschichtet,40,F,3.01 - 3.99,,7.5,8,24,".0430, .0530"
63450485*,unbeschichtet,40,F,4.00,,7.5,8,24,".0430, .0530"
63450486*,unbeschichtet,40,F,4.01 - 4.99,,7.5,8,24,".0430, .0530"
63450487*,unbeschichtet,40,F,5.00,,7.5,8,24,".0430, .0530"
63450530,unbeschichtet,50,S,0.30 - 0.99,2.55,12.0,8,24,".0430, .0530"
63450531,unbeschichtet,50,S,1.00,2.55,12.0,8,24,".0430, .0530"
63450535,unbeschichtet,50,S,1.01 - 1.49,2.55,12.0,8,24,".0430, .0530"
63450536,unbeschichtet,50,S,1.50,2.55,12.0,8,24,".0430, .0530"
63450538,unbeschichtet,50,S,1.51 - 1.99,2.55,12.0,8,24,".0430, .0530"
63450539,unbeschichtet,50,S,2.00,2.55,12.0,8,24,".0430, .0530"
63450540,unbeschichtet,50,S,2.01 - 2.49,2.55,12.0,8,24,".0430, .0530"
63450541,unbeschichtet,50,F,2.50,,12.5,8,24,".0430, .0530"
63450542,unbeschichtet,50,F,2.51 - 2.99,,12.5,8,24,".0430, .0530"
63450543,unbeschichtet,50,F,3.00,,12.5,8,24,".0430, .0530"
63450544,unbeschichtet,50,F,3.01 - 3.99,,12.5,8,24,".0430, .0530"
63450545,unbeschichtet,50,F,4.00,,12.5,8,24,".0430, .0530"
63450546,unbeschichtet,50,F,4.01 - 4.99,,12.5,8,24,".0430, .0530"
63450547,unbeschichtet,50,F,5.00,,12.5,8,24,".0430, .0530"
63450620,unbeschichtet,63,S,0.40 - 0.99,2.55,14.5,16,32,".0440, .0540, .0640"
63450621,unbeschichtet,63,S,1.00,2.55,14.5,16,32,".0440, .0540, .0640"
63450625,unbeschichtet,63,S,1.01 - 1.49,2.55,14.5,16,32,".0440, .0540, .0640"
63450626,unbeschichtet,63,S,1.50,2.55,14.5,16,32,".0440, .0540, .0640"
