Artikel Nr.,Beschichtung,d1 mm,Typ (Modell),b mm,b1 mm,Zahnform,Nuttiefe mm,d2 mm,d3 mm,Aufnahme 6048. _ _ _ _
63460175*,AlCrN-beschichtet,25,S,1,1.55,38 Bw,3.5 (2.0**),5,16,".0400, .0410, .0420, .0520"
63460176*,AlCrN-beschichtet,25,S,1,1.55,28 Bw,3.5,5,16,".0400, .0410, .0420, .0520"
63460181*,AlCrN-beschichtet,25,F,1.5,1.55,38 Bw,4.0 (2.0**),5,16,".0400, .0410, .0420, .0520"
63460235*,AlCrN-beschichtet,32,S,1,1.55,38 Bw,7.0 (3.5**),5,16,".0400, .0410, .0420, .0520"
63460236*,AlCrN-beschichtet,32,S,1,1.55,22 Bw,7.0,5,16,".0400, .0410, .0420, .0520"
63460241*,AlCrN-beschichtet,32,F,1.5,1.55,32 Bw,7.5 (3.5**),5,16,".0400, .0410, .0420, .0520"
63460242*,AlCrN-beschichtet,32,S,1.5,1.55,22 Bw,7.5,5,16,".0400, .0410, .0420, .0520"
63460355*,AlCrN-beschichtet,40,S,1,2.55,36 Bw,7.0 (3.5**),8,24,".0430, .0530"
63460356*,AlCrN-beschichtet,40,S,1,2.55,24 Bw,7.0,8,24,".0430, .0530"
63460361*,AlCrN-beschichtet,40,S,1.5,2.55,36 Bw,7.0 (3.5**),8,24,".0430, .0530"
63460362*,AlCrN-beschichtet,40,S,1.5,2.55,24 Bw,7.0,8,24,".0430, .0530"
63460367*,AlCrN-beschichtet,40,S,2,2.55,36 Bw,7.0 (3.5**),8,24,".0430, .0530"
63460368*,AlCrN-beschichtet,40,S,2,2.55,24 Bw,7.0,8,24,".0430, .0530"
63460373*,AlCrN-beschichtet,40,S,2.5,2.55,36 Bw,7.5 (3.5**),8,24,".0430, .0530"
63460374*,AlCrN-beschichtet,40,S,2.5,2.55,24 Bw,7.5,8,24,".0430, .0530"
63460434,AlCrN-beschichtet,50,F,2.5,2.55,22 Bw,12.5,8,24,".0430, .0530"
63460535,AlCrN-beschichtet,63,S,1,2.55,30 Bw,14.5 (7.0**),16,32,".0440, .0540, .0640"
63460536,AlCrN-beschichtet,63,S,1,2.55,20 Bw,14.5,16,32,".0440, .0540, .0640"
63460541,AlCrN-beschichtet,63,S,1.5,2.55,30 Bw,14.5 (7.0**),16,32,".0440, .0540, .0640"
63460542,AlCrN-beschichtet,63,S,1.5,2.55,20 Bw,14.5,16,32,".0440, .0540, .0640"
63460547,AlCrN-beschichtet,63,S,2,2.55,30 Bw,14.5 (7.0**),16,32,".0440, .0540, .0640"
63460548,AlCrN-beschichtet,63,S,2,2.55,20 Bw,14.5,16,32,".0440, .0540, .0640"
63460553,AlCrN-beschichtet,63,F,1,2.55,30 Bw,15.0 (7.0**),16,32,".0440, .0540, .0640"
63460554,AlCrN-beschichtet,63,F,2.5,2.55,20 Bw,15.0,16,32,".0440, .0540, .0640"
63460578,AlCrN-beschichtet,80,S,1,2.55,30 Bw,23.0 (10.0**),16,32,".0440, .0540, .0640"
63460596,AlCrN-beschichtet,80,S,2,2.55,20 Bw,23.0,16,32,".0440, .0540, .0640"
63460601,AlCrN-beschichtet,80,S,1.5,2.55,30 Bw,23.0 (10.0**),16,32,".0440, .0540, .0640"
63460602,AlCrN-beschichtet,80,S,1.5,2.55,20 Bw,23.0,16,32,".0440, .0540, .0640"
63460607,AlCrN-beschichtet,80,S,2,2.55,30 Bw,23.0 (10.0**),16,32,".0440, .0540, .0640"
63460608,AlCrN-beschichtet,80,S,2,2.55,20 Bw,23.0,16,32,".0440, .0540, .0640"
63460613,AlCrN-beschichtet,80,F,2.5,2.55,30 Bw,23.5 (10.0**),16,32,".0440, .0540, .0640"
63460614,AlCrN-beschichtet,80,F,2.5,2.55,20 Bw,23.5,16,32,".0440, .0540, .0640"
63460727,AlCrN-beschichtet,100,S,2,2.55,28 Bw,29.0 (13.0**),22,40,.0650
63460728,AlCrN-beschichtet,100,S,2,2.55,18 Bw,29.0,22,40,.0650
63460733,AlCrN-beschichtet,100,F,2.5,2.55,28 Bw,29.5 (13.0**),22,40,.0650
63460734,AlCrN-beschichtet,100,F,2.5,2.55,18 Bw,29.5,22,40,.0650
63460787,AlCrN-beschichtet,125,S,2,2.55,28 Bw,41.5 (17.0**),22,40,.0650
63460788,AlCrN-beschichtet,125,S,2,2.55,18 Bw,41.5,22,40,.0650
63460793,AlCrN-beschichtet,125,F,2.5,2.55,28 Bw,42.0 (17.0**),22,40,.0650
63460794,AlCrN-beschichtet,125,F,2.5,2.55,18 Bw,42.0,22,40,.0650
